sample	group	donor	time	treatment
M10	C0	1	0	C
M20	C0	2	0	C
M40	C0	4	0	C
M50	C0	5	0	C
M60	C0	6	0	C
M12C	C2	1	2	C
M22C	C2	2	2	C	
M42C	C2	4	2	C
M52C	C2	5	2	C	
M62C	C2	6	2	C
M12F	F2	1	2	F
M22F	F2	2	2	F
M42F	F2	4	2	F
M52F	F2	5	2	F
M62F	F2	6	2	F
M14C	C4	1	4	C
M24C	C4	2	4	C
M44C	C4	4	4	C
M54C	C4	5	4	C
M64C	C4	6	4	C
M14F	F4	1	4	F
M24F	F4	2	4	F
M44F	F4	4	4	F
M54F	F4	5	4	F
M64F	F4	6	4	F
M16C	C6	1	6	C
M26C	C6	2	6	C
M46C	C6	4	6	C
M56C	C6	5	6	C
M66C	C6	6	6	C
M16F	F6	1	6	F
M26F	F6	2	6	F
M46F	F6	4	6	F
M56F	F6	5	6	F
M66F	F6	6	6	F
M18C	C8	1	8	C
M28C	C8	2	8	C
M48C	C8	4	8	C	
M58C	C8	5	8	C
M68C	C8	6	8	C
M18F	F8	1	8	F
M28F	F8	2	8	F
M48F	F8	4	8	F
M58F	F8	5	8	F
M68F	F8	6	8	F
